iter	Passed	Remaining
0	22	11245
1	45	11399
2	64	10625
3	86	10763
4	109	10833
5	131	10813
6	154	10909
7	173	10671
8	197	10763
9	222	10891
10	242	10789
11	266	10833
12	290	10892
13	313	10895
14	336	10873
15	361	10929
16	382	10861
17	405	10860
18	427	10823
19	449	10779
20	472	10768
21	493	10723
22	518	10749
23	542	10760
24	567	10781
25	591	10774
26	616	10791
27	639	10771
28	658	10696
29	684	10722
30	705	10678
31	726	10626
32	752	10642
33	778	10674
34	800	10640
35	823	10608
36	849	10635
37	873	10621
38	897	10603
39	921	10599
40	944	10579
41	965	10527
42	989	10519
43	1016	10535
44	1040	10518
45	1063	10500
46	1086	10472
47	1112	10473
48	1134	10442
49	1156	10405
50	1179	10384
51	1202	10357
52	1226	10345
53	1251	10339
54	1273	10302
55	1296	10278
56	1319	10255
57	1341	10224
58	1368	10228
59	1389	10191
60	1413	10174
61	1442	10189
62	1467	10179
63	1492	10165
64	1514	10137
65	1542	10139
66	1565	10114
67	1591	10112
68	1614	10086
69	1640	10078
70	1665	10063
71	1689	10042
72	1713	10022
73	1738	10006
74	1762	9988
75	1786	9965
76	1809	9941
77	1836	9933
78	1863	9933
79	1887	9910
80	1910	9884
81	1934	9860
82	1957	9836
83	1981	9813
84	2007	9800
85	2031	9779
86	2052	9741
87	2073	9707
88	2098	9688
89	2119	9656
90	2142	9627
91	2165	9602
92	2188	9576
93	2210	9545
94	2235	9531
95	2262	9521
96	2287	9502
97	2312	9485
98	2331	9445
99	2356	9424
100	2383	9414
101	2407	9392
102	2431	9371
103	2454	9347
104	2481	9335
105	2505	9312
106	2528	9285
107	2553	9266
108	2576	9242
109	2600	9219
110	2624	9197
111	2648	9174
112	2673	9157
113	2699	9141
114	2721	9112
115	2745	9087
116	2768	9063
117	2792	9041
118	2818	9022
119	2840	8995
120	2865	8975
121	2888	8948
122	2914	8931
123	2936	8904
124	2962	8886
125	2986	8863
126	3010	8841
127	3032	8812
128	3057	8793
129	3082	8773
130	3106	8749
131	3128	8723
132	3151	8696
133	3177	8677
134	3201	8657
135	3224	8630
136	3247	8603
137	3269	8575
138	3293	8552
139	3319	8534
140	3341	8506
141	3366	8488
142	3391	8466
143	3412	8436
144	3436	8413
145	3459	8387
146	3484	8366
147	3507	8341
148	3528	8312
149	3555	8295
150	3580	8275
151	3604	8252
152	3627	8226
153	3646	8193
154	3672	8175
155	3693	8145
156	3717	8122
157	3744	8105
158	3765	8076
159	3788	8051
160	3811	8025
161	3833	7998
162	3860	7981
163	3883	7956
164	3905	7928
165	3926	7900
166	3948	7874
167	3974	7854
168	3999	7832
169	4020	7804
170	4045	7782
171	4067	7756
172	4094	7739
173	4118	7716
174	4141	7691
175	4170	7677
176	4196	7657
177	4218	7630
178	4237	7598
179	4265	7582
180	4286	7554
181	4311	7533
182	4332	7505
183	4354	7478
184	4376	7452
185	4396	7422
186	4419	7397
187	4443	7374
188	4464	7346
189	4489	7325
190	4508	7294
191	4535	7275
192	4559	7252
193	4580	7224
194	4604	7202
195	4625	7173
196	4647	7148
197	4669	7122
198	4692	7097
199	4716	7075
200	4738	7048
201	4759	7020
202	4782	6996
203	4803	6969
204	4822	6940
205	4847	6918
206	4872	6897
207	4893	6869
208	4915	6843
209	4935	6815
210	4955	6787
211	4978	6763
212	5001	6739
213	5024	6715
214	5045	6688
215	5070	6666
216	5094	6643
217	5115	6617
218	5141	6597
219	5164	6572
220	5183	6543
221	5204	6517
222	5226	6492
223	5249	6468
224	5273	6444
225	5294	6418
226	5318	6395
227	5341	6371
228	5360	6344
229	5381	6317
230	5403	6292
231	5424	6266
232	5448	6243
233	5468	6216
234	5489	6190
235	5509	6163
